2023-09-09	15:52:16	6703848f-af3b-45ba-b113-0bdca63875b7	/default.html	 GET
2023-09-09	15:52:16	a9cb0d8c-37dc-433b-b568-cae000408142	/favicon.ico	 GET
2023-09-09	15:52:27	fc5dd3fa-efdf-4cca-a73b-cb44ebbcd9a4	/faisal	 GET
2023-09-09	15:52:37	38cd771f-4bc5-4420-b19b-2db96ee5d197	/default.html	 GET
2023-09-09	15:54:34	f7892264-25f2-4172-8072-668e398dfcca	/default.html	 GET
2023-09-09	15:54:36	7889c580-0811-4bb1-a93f-69ca1ca4f449	/default.html	 GET
2023-09-10	15:30:09	4b47ebf7-7d7a-4598-81b8-db719e8567f4	GET	undefined	/default
2023-09-10	17:00:59	4ff120c4-849f-402d-b0e1-2ead5e925b6c	GET	undefined	/default
2023-09-10	17:02:03	c2e4de2c-6b28-48f4-8f5d-5907c686f279	GET	undefined	/default
2023-09-10	17:02:24	f0d44f7e-7192-44ef-be72-1aa6b35a3e87	GET	undefined	/default
2023-09-10	17:03:50	7552b225-5fbe-41bb-9a61-375e1a3b695e	GET	undefined	/default
2023-09-10	17:03:53	7cdc961f-bfbd-4ccd-877b-ad5cb23f9e45	GET	undefined	/default
2023-09-10	17:03:56	0781089f-9b62-43cc-9502-4eee3b5b4423	GET	undefined	/default
2023-09-10	17:04:04	53689060-8c79-43ad-a66d-4eb76e8a9d68	GET	undefined	/default
2023-09-10	17:04:45	947b5738-5b6d-4da3-906c-715ed4326ada	GET	undefined	/default
2023-09-10	17:04:48	92ef80d0-0086-4931-aead-26fa58573b29	GET	undefined	/default
2023-09-10	17:04:52	5f95f98c-ab68-4f5b-b439-1b0152a2dc5e	GET	undefined	/
2023-09-10	17:05:31	abce5ce7-f98f-46bf-8f11-2c2603099380	GET	undefined	/
2023-11-17	18:17:30	0c8efcbc-5347-45a2-88cf-bffa9d76a222	GET	undefined	/
2023-11-17	18:17:30	eee31f34-3930-4b3a-8ede-adcfa941c3d3	GET	undefined	/favicon.ico
2023-11-17	18:17:40	8b28ce39-8bd1-45b0-b685-acc1dcb6c9e7	GET	undefined	/
2023-11-17	18:17:40	7f115e56-2c40-41e2-b3f6-1b7a14bc39a9	GET	undefined	/favicon.ico
2023-11-17	18:17:59	153d4eda-b207-49c9-8b32-cebbf52f89d8	GET	undefined	/api/employees
2023-11-17	18:17:59	548ed557-4c49-494e-b641-55e4ff70ef4f	GET	undefined	/favicon.ico
2023-11-17	18:18:54	ae1555a8-a5ae-4f04-8d84-6298e835d331	GET	undefined	/employees
2023-11-17	18:21:51	e2e27ea2-f1a6-45c0-908b-e65743042bd9	GET	undefined	/employees
2023-11-17	18:21:52	1818e648-68e4-4886-b6e8-f5f27b30b618	GET	undefined	/favicon.ico
2023-11-17	18:21:57	f17e71d6-d20e-4bb2-a6c6-642a38bcc11c	GET	undefined	/employees
2023-11-17	18:21:58	913bf83b-58cc-4024-828d-09a3caaacc0f	GET	undefined	/favicon.ico
2023-11-17	18:26:01	d6990fad-1b01-4ff3-b4bd-25b5185149c2	GET	undefined	/employees
2023-11-17	18:27:04	57524c56-561f-4ec6-816c-0e6cf3bcd890	GET	undefined	/employees
2023-11-17	18:27:04	2f294990-b1b1-4227-b734-6325d5574342	GET	undefined	/favicon.ico
